Occurrence_Code,acft_model,num_eng,eng_type,crew_category,crew_age,latitude,longitude,light_cond,vis_sm,wx_temp,wind_dir_deg,wind_vel_kts,altimeter,code
300230,172M,1.0,REC,PLT,56.0,462113N,0872347W,DAYL,10.0,1.0,270.0,10.0,30.25,NET
450240,A36,1.0,REC,PLT,59.0,040647N,0851433W,DUSK,1.0,32.0,270.0,16.0,30.0200004577637,FSS
250200,PA-46-350P,1.0,REC,PLT,57.0,294339N,0085133W,DAYL,10.0,50.0,140.0,3.0,30.04222254224909,AUTR
300230,195B,1.0,REC,PLT,54.0,030473N,0098360W,DAYL,10.0,70.0,80.0,7.0,30.3199996948242,AUTR
350600,172,1.0,REC,KPLT,57.0,364649N,0076283W,DAYL,10.0,52.0,260.0,10.0,30.0900001525879,AUTR
350600,172,1.0,REC,DSTU,32.0,364649N,0076283W,DAYL,10.0,52.0,260.0,10.0,30.0900001525879,AUTR
152230,A185E,1.0,REC,PLT,44.0,044927N,0702853W,DAYL,10.0,9.0,209.92835497835492,5.571285714285713,29.7199993133545,NONE
350192,LANCAIR 320,1.0,REC,PLT,47.0,341221N,1182914W,DAYL,10.0,70.0,90.0,5.0,29.9599990844727,UNK
552230,180,1.0,REC,PLT,53.0,382237N,1204738W,DAYL,10.0,54.0,308.3518737120961,7.6997031327805345,30.0499992370605,AUTR
450350,PA 28RT-201T,1.0,REC,PLT,41.0,395929N,1043536W,DAYL,10.0,39.0,360.0,9.0,30.0,UNK
500401,152,1.0,REC,PLT,38.0,029223N,0805343W,NDRK,8.0,63.0,350.0,8.0,30.1299991607666,UNK
551210,RV6A,1.0,REC,PLT,50.0,373343N,0823359W,DAYL,10.0,28.0,300.0,3.0,30.2199993133545,NWS
509240,150L,1.0,REC,DSTU,43.0,422738N,0071314W,DAYL,10.0,32.0,138.6792286300042,8.66356212977769,29.9300003051758,FSS
509240,150L,1.0,REC,FLTI,23.0,422738N,0071314W,DAYL,10.0,32.0,138.6792286300042,8.66356212977769,29.9300003051758,FSS
452240,AVENTURA II,1.0,REC,PLT,56.0,272723N,0812033W,DAYL,10.0,63.0,360.0,13.0,30.1299991607666,UNK
452240,AVENTURA II,1.0,REC,DSTU,44.0,272723N,0812033W,DAYL,10.0,63.0,360.0,13.0,30.1299991607666,UNK
402342,172N,1.0,REC,FLTI,35.0,021817N,0156491W,DAYL,10.0,79.0,140.0,6.0,30.0400009155273,UNK
402342,172N,1.0,REC,DSTU,22.0,021817N,0156491W,DAYL,10.0,79.0,140.0,6.0,30.0400009155273,UNK
508600,8,1.0,REC,PLT,52.0,323252N,0834937W,DAYL,10.0,48.0,330.0,6.0,30.2299995422363,UNK
404360,737 7H4,2.0,TF,PLT,57.0,372146N,1215545W,DAYL,4.0,61.0,100.0,23.0,29.5499992370605,NET
404360,737 7H4,2.0,TF,CPLT,39.0,372146N,1215545W,DAYL,4.0,61.0,100.0,23.0,29.5499992370605,NET
450341,210J,1.0,REC,PLT,61.0,374448N,0099583W,DAYL,10.0,86.0,280.0,5.0,29.9200000762939,AUTR
800040,PA-28-161,1.0,REC,PLT,38.0,325453N,0855746W,NDRK,10.0,45.0,209.8162919948988,8.287820962663067,30.1399993896484,AUTR
509240,172F,1.0,REC,DSTU,40.0,425714N,0852038W,DUSK,10.0,32.0,10.0,3.0,29.9599990844727,AUTR
552400,172K,1.0,REC,PLT,65.0,424434N,0086628W,DAYL,10.0,45.0,210.0,21.0,29.6100006103516,AUTR
300191,M20C,1.0,REC,PLT,30.0,345816N,0914953W,DAYL,10.0,61.0,210.0,11.0,29.9500007629395,UNK
